,Block Height,Owner,TransactionID,TOKEN,BALANCE
0,3976789,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xec628489be1181cdea2eac47aaeb2efcc4f371ef1f2f97190e35a1afae7a7954,EOS,2460747.8
1,4004950,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xf97bd626a3569a54e34e38d1bbeb95a2fb6f07400ea193b3b1ba56eae974c2fd,EOS,2310747.8
2,4046004,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x0f769fd3932bea1553effab7afba6367ac2d045d39a0ed738cec03a75ebd7286,EOS,2210747.8
3,4014515,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x737ddabe40213ad7bf24a68a7fdb19021eb3db62f65b53e8615a2cee102423e0,EOS,2087847.8
4,4055093,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xe9fc3839b6c83f94d6d0647cb4d67287cf0d7edcafc7b334478f88d55ddddf86,EOS,1969447.8
5,4023145,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xc67c71f2620a1c5e04bbf4682b497f7825f65475401a1fb094487e6b90b3c8fa,EOS,1869447.8
6,4013941,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x5cd372a2359936981eaaa867cf99bee06ecabcde0ddc1e2b103c16c42ec4e60b,EOS,1859448.9
7,4007545,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x2d86faf5cbd99cce5c8f4db83d91a8d43357931fd6d4db70f55d85d6662f1a09,EOS,1759448.9
8,4009806,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x957d91a10bfa22dce6cb93c16edd365f9161f514bea0b82c8b564e2c6a1fa719,EOS,1713848.9
9,4002531,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x78860ad5fb17f111391ccc323cecf7afed20c8b607f3bd34125128914df7722e,EOS,1663848.9
10,4027474,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xe14ade4699654bc993e5b0466ada581260b1dd79baed32215fd7b7a2261b71ee,EOS,1503848.9
11,4050491,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x991b1ab4176dfe34fe24817d88e92aceed4c8104c51a3e532e1fbf746d511db0,EOS,1368593.9
12,4039787,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x21d4118ff02266ac1c8f85bad5fe891c571f530404aa3f26bfb2bef28924f4af,EOS,1245393.9
13,4018635,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xa6b054a7ab5c6b1f7d52e5a5ce9492db2350391a88b222d458562325eed60907,EOS,1214718.9
14,4010545,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xc3b8b5d7a8ddc859c9c0814ef411613877a3d0a2afe5623615e78efb45c289df,EOS,1064718.9
15,4046240,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x99efd4ca2f70d2d8d4f78011f7a73e50cc560b8ed68d7052d8a1ff659290dded,EOS,1013599.9
16,3975410,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x4e0aedfdd272b8776f7ae2567534d230e05314fe0354510cfece5da4cd9670e7,EOS,1003599.9
17,4036705,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xe3c8b415764fff3af206bf0d09bbc2950432555f0d281ce3af9a6ecf46469ce3,EOS,883599.9
18,4013842,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x631d4f3d0850fc4c5d2e8ad6856c5c7c0ad55e80ee0cbfbc6d598178b16cd306,EOS,863599.9
19,4027418,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xefa278eed171ca1c71c8847b89d362e276afd67072dc10447488124fbb3fb87b,EOS,693599.9
20,4028316,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xa8a573f77915ed1bf91b74565bc39b09cf93a493107611706798eb8866df1e43,EOS,663600.0
21,3976136,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x8b7485fb86d4788083f4c1816729b8cdb49d0b9f52cdb1cbb74d6bdcc3336208,EOS,563600.0
22,4011302,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xdc603fa0547ef50093325d1404453c223013415f2d183c43233a16f1cd98a989,EOS,536700.0
23,4018787,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x0b372e281ee6383edac49fcf57ee9ff951f400811afbdd907402b023957ec8ff,EOS,320700.0
24,4007671,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xb554fbd5e46fbc6f42449c7b711e97e323adeeb97f1135ec5e360606f698d099,EOS,220700.0
25,4027780,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0xbe82808bf936718b2f7040759244e2012dd1fd3c6156e4f22ea6eea5ba73e975,EOS,120000.0
26,4053824,0x8a8f09adb437b2bfdbb4ae53ad82c7791ef443f1,0x20f825aeac7657525767824ab46cdabdf64fcb9ba39c0dc20a465558d9ec5371,EOS,-1.16415321827e-10
